vaalipiiri;sukunimi;etunimi;puolue;ikГ¤;sukupuoli;Toimin tГ¤llГ¤ hetkellГ¤ kansanedustajana.;kotikunta;Г„idinkieli;Kotisivun osoite:;Facebook-profiilin osoite:;Twitter-profiilin osoite:;TyГ¶nantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisГ¶;Poliittisen puolueen jГ¤sen;Poliittinen kokemus;KГ¤ytГ¤n vaaleihin rahaa;Ulkopuolisen rahoituksen osuus;Vuositulot;127|Suomessa on liian helppo elГ¤Г¤ sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttГ¤vГ¤ perustuloon joka korvaisi nykyisen sosiaaliturvan vГ¤himmГ¤istason.;130|TyГ¶ntekijГ¤lle on turvattava lailla minimityГ¶aika.;131|Ansiosidonnaisen tyГ¶ttГ¶myysturvan kestoa pitГ¤Г¤ lyhentГ¤Г¤.;132|Euron ulkopuolella Suomi pГ¤rjГ¤isi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|LapsilisiГ¤ on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jГ¤senyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmГ¤n poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|VenГ¤jГ¤n etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tГ¤rkeГ¤mpГ¤Г¤ kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitГ¤Г¤ puuttua lapsiperheiden ongelmiin nykyistГ¤ herkemmin.;146|Vanhuksen ja hГ¤nen omaistensa vastuuta hoitokustannuksista on lisГ¤ttГ¤vГ¤.;148|Ilmastonmuutoksen hillitseminen pitГ¤Г¤ asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitГ¤Г¤ ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, ettГ¤ koko Suomi on pidettГ¤vГ¤ asuttuna.;201|Suomen Nato-jГ¤senyydestГ¤ on jГ¤rjestettГ¤vГ¤ kansanГ¤Г¤nestys.;244|HyvГ¤ksytГ¤Г¤n periaatepГ¤Г¤tГ¶s uuden ydinvoimalaitosyksikГ¶n rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttГ¤miseksi.;246|Edellisen eduskunnan hyvГ¤ksymГ¤ lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
08 Kaakkois-Suomen vaalipiiri;Aalto;Airi;Perussuomalaiset;57;F;0;Imatra;suomi ;http://www.airiaalto.fi;http://www.facebook.com/airi.aalto73;;julkinen ;korkeakoulututkintoa vaativa tehtГ¤vГ¤ ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ |kunnan- tai kaupunginvaltuusto |kuntayhtymГ¤ tai maakuntahallinto ;10 000-20 000 euroa;;30 000-50 000 euroa;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;KyllГ¤;KyllГ¤;Ei;KyllГ¤;Ei;KyllГ¤
12 Oulun vaalipiiri;Aalto;Esa;VihreГ¤ liitto;32;M;0;Oulu;suomi ;http://henkilot.vihreat.fi/esa.aalto/;http://www.facebook.com/Esa.eduskuntaan;;ei tyГ¶elГ¤mГ¤ssГ¤;asiantuntijatehtГ¤vГ¤ ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ ;alle 1 000 euroa;0 %;20 000-30 000 euroa;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;Ei;Ei;Ei;Ei;Ei;KyllГ¤
07 Pirkanmaan vaalipiiri;Aalto;Harri;Vasemmistoliitto;57;M;0;Pirkkala;;http://ehdokas.vasemmisto.fi/harriaalto/;https://www.facebook.com/harri.aalto.90;;julkinen ;tyГ¶ntekijГ¤ ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;kunnan- tai kaupunginvaltuusto ;alle 1 000 euroa;1-20 %;20 000-30 000 euroa;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;KyllГ¤;Ei;Ei;Ei;KyllГ¤;KyllГ¤
12 Oulun vaalipiiri;Aalto;Matti;Suomen Kommunistinen Puolue;60;M;0;Oulu;suomi ;;https://www.facebook.com/matti.aalto.39;;yksityinen ;tyГ¶ntekijГ¤ ;;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ ;alle 1 000 euroa;1-20 %;20 000-30 000 euroa;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;KyllГ¤;Ei;Ei;Ei;Ei;KyllГ¤
13 Lapin vaalipiiri;Aalto;Pirkka;Suomen Kristillisdemokraatit (KD);45;M;0;KemijГ¤rvi;suomi ;http://www.pirkkaaalto.fi/;https://www.facebook.com/pages/Pirkka-Aalto/1468858586678148?ref=hl;;julkinen ;korkeakoulututkintoa vaativa tehtГ¤vГ¤ ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ |kunnan- tai kaupunginvaltuusto |kuntayhtymГ¤ tai maakuntahallinto ;5 000-10 000 euroa;51-80 %;30 000-50 000 euroa;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;KyllГ¤;Ei;KyllГ¤;KyllГ¤;Ei;KyllГ¤
11 Keski-Suomen vaalipiiri;Aalto;Touko;VihreГ¤ liitto;30;M;0;JyvГ¤skylГ¤;;http://www.toukoaalto.fi;http://www.facebook.com/toukoaalto;http://www.twitter.com/toukoaalto;julkinen ;asiantuntijatehtГ¤vГ¤ ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ |kunnan- tai kaupunginvaltuusto |kuntayhtymГ¤ tai maakuntahallinto ;10 000-20 000 euroa;51-80 %;20 000-30 000 euroa;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;KyllГ¤;Ei;KyllГ¤;Ei;KyllГ¤;KyllГ¤
08 Kaakkois-Suomen vaalipiiri;Aalto-Partanen;Annika;VihreГ¤ liitto;36;F;0;Kotka;suomi ;http://www.aalto-partanen.com;http://www.facebook.com/Annika.AaltoPartanen;http://twitter.com/AaltoPartanen;julkinen ;asiantuntijatehtГ¤vГ¤ ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ |kunnan- tai kaupunginvaltuusto ;1 000-5 000 euroa;1-20 %;30 000-50 000 euroa;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;Ei;Ei;Ei;Ei;KyllГ¤;Ei
12 Oulun vaalipiiri;Aaltonen;Henri;Piraattipuolue;37;M;0;Siikajoki;suomi ;;http://www.facebook.com/henri.leppimaki;;yksityinen ;maanviljelijГ¤ ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;ei mitГ¤Г¤n nГ¤istГ¤;1 000-5 000 euroa;0 %;;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;ohita kysymys;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;ohita kysymys;tГ¤ysin eri mieltГ¤;tГ¤ysin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;ohita kysymys;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;KyllГ¤;Ei;KyllГ¤;Ei;KyllГ¤;KyllГ¤
07 Pirkanmaan vaalipiiri;Aaltonen;Mikko;Vasemmistoliitto;39;M;0;Tampere;suomi ;http://www.mikkoaaltonen.fi;https://fi-fi.facebook.com/pages/Mikko-Aaltonen-Vas/163357823700264;https://twitter.com/mikko_aaltonen;julkinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllГ¤ ;kunnan- tai kaupunginvaltuusto |kuntayhtymГ¤ tai maakuntahallinto ;5 000-10 000 euroa;1-20 %;50 000-70 000 euroa;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;KyllГ¤;Ei;Ei;Ei;KyllГ¤;Ei
10 Vaasan vaalipiiri;Aarnos;Eila;Vasemmistoliitto;66;F;0;Kokkola;suomi ;http://www.eilaaarnos.fi;https://www.facebook.com/eila.aarnos;;ei tyГ¶elГ¤mГ¤ssГ¤;korkeakoulututkintoa vaativa tehtГ¤vГ¤ ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisГ¶Г¶n;kyllГ¤ ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtГ¤vissГ¤ |kunnan- tai kaupunginvaltuusto ;1 000-5 000 euroa;51-80 %;30 000-50 000 euroa;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin eri mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;jokseenkin eri mieltГ¤;ohita kysymys;jokseenkin eri mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;jokseenkin eri mieltГ¤;tГ¤ysin samaa mieltГ¤;jokseenkin samaa mieltГ¤;tГ¤ysin eri mieltГ¤;KyllГ¤;Ei;KyllГ¤;Ei;KyllГ¤;KyllГ¤
